Bestellnummer,A,B,L,Nominalstellweg [µm],Nominalstellweg Abweichung [%],Max. Stellweg [µm],Max. Stellweg Abweichung [%],Blockierkraft [N],Blockierkraft Abweichung [%],Steifigkeit [N/µm],Kapazität [µF],Kapazität Abweichung [%],Resonanzfrequenz [kHz],Resonanzfrequenz Abweichung [%]
P-882.11,3,2,9,6.5,20,8,20,190,0,24,0.15,20,135,20
P-882.31,3,2,13.5,11,20,13,20,210,0,16,0.22,20,90,20
P-882.51,3,2,18,15,10,18,10,210,0,12,0.31,20,70,20
P-883.11,3,3,9,6.5,20,8,20,290,0,36,0.21,20,135,20
P-883.31,3,3,13.5,11,20,13,20,310,0,24,0.35,20,90,20
P-883.51,3,3,18,15,10,18,10,310,0,18,0.48,20,70,20
P-885.11,5,5,9,6.5,20,8,20,800,0,100,0.6,20,135,20
P-885.31,5,5,13.5,11,20,13,20,870,0,67,1.1,20,90,20
P-885.51,5,5,18,15,10,18,10,900,0,50,1.5,20,70,20
P-885.91,5,5,36,32,10,38,10,950,0,25,3.1,20,40,20
P-887.31,7,7,13.5,11,20,13,20,1700,0,130,2.2,20,90,20
P-887.51,7,7,18,15,10,18,10,1750,0,100,3.1,20,70,20
P-887.91,7,7,36,32,10,38,10,1850,0,50,6.4,20,40,20
P-888.31,10,10,13.5,11,20,13,20,3500,0,267,4.3,20,90,20
P-888.51,10,10,18,15,10,18,10,3600,0,200,6.0,20,70,20
P-888.91,10,10,36,32,10,38,10,3800,0,100,13.0,20,40,20
